test_idx,label
0,4
3,4
6,4
9,1
11,4
13,2
14,8
30,4
33,4
35,4
37,4
45,4
46,0
50,4
52,2
53,4
54,4
67,4
71,4
76,4
80,4
87,4
88,4
89,8
98,4
102,4
111,4
117,4
124,0
128,4
130,4
141,4
152,4
153,4
160,1
161,4
165,4
167,7
177,2
181,2
187,5
188,4
195,4
196,4
200,4
214,7
215,2
216,4
220,4
228,4
230,4
233,4
242,4
248,7
249,4
252,2
254,4
265,1
267,4
274,4
278,4
280,2
289,4
294,8
301,4
305,4
309,8
310,4
316,4
317,4
323,4
325,5
329,7
336,2
337,4
340,2
348,1
367,4
370,4
382,9
384,4
393,4
407,4
408,4
417,3
418,4
419,4
425,4
430,4
433,4
442,4
446,4
447,4
450,2
451,4
452,7
456,4
466,4
468,4
472,4
473,8
478,8
479,1
498,4
503,4
509,4
516,1
526,8
533,4
539,4
543,4
547,4
554,4
557,2
559,4
570,4
571,4
580,4
590,4
592,4
595,4
597,4
606,4
623,4
628,8
634,4
638,4
639,4
642,4
650,4
653,2
657,2
660,4
662,4
663,2
668,4
674,4
687,4
692,4
693,2
707,4
708,4
725,0
726,2
743,4
747,4
749,4
750,4
751,4
763,4
774,4
780,4
781,4
782,4
786,1
789,4
822,8
830,4
835,4
837,4
843,4
851,4
857,4
860,2
863,4
869,4
879,2
881,4
887,4
891,2
901,4
905,4
906,4
910,1
912,9
922,1
923,1
924,5
925,1
928,5
936,4
953,4
962,4
970,4
982,4
983,7
986,4
995,2
999,8
1006,1
1008,2
1009,1
1016,8
1017,4
1020,4
1034,4
1036,1
1043,4
1047,4
1050,4
1053,4
1056,4
1058,4
1061,4
1062,4
1064,4
1076,4
1077,4
1078,4
1079,4
1080,1
1081,4
1082,8
1094,4
1103,4
1129,4
1131,8
1132,4
1136,4
1138,1
1139,4
1149,4
1151,4
1155,4
1158,4
1161,4
1162,5
1164,1
1165,4
1171,1
1178,4
1182,8
1186,2
1196,4
1198,4
1208,4
1212,8
1213,4
1218,4
1221,4
