doc_id,domain,status,char_len,n_blocks,n_articles,n_tables,probe
1,insurance,OK,28509,19,0,18,
10,insurance,OK,14556,70,62,1,
11,insurance,OK,6221,34,33,0,
12,insurance,OK,10678,42,41,0,
13,insurance,OK,7401,34,32,1,
14,insurance,OK,6929,38,37,0,
15,insurance,OK,10669,63,58,4,
16,insurance,OK,19645,21,0,0,
2,insurance,OK,15329,74,68,5,
3,insurance,OK,16092,28,27,0,
4,insurance,OK,45529,31,0,30,
5,insurance,OK,91234,118,0,117,
6,insurance,OK,61776,78,0,77,
7,insurance,OK,7442,30,28,1,
8,insurance,OK,57924,75,24,50,
9,insurance,OK,14559,70,62,1,
annual_byd_2024_report,financial_reports,OK,391024,271,0,250,
annual_byd_2025_report,financial_reports,OK,341623,242,0,225,
annual_catl_2024_report,financial_reports,OK,467786,393,0,372,
annual_catl_2025_report,financial_reports,OK,440872,389,0,372,
annual_chinamobile_2025_report,financial_reports,OK,159683,68,0,67,
annual_cmb_2025_report,financial_reports,OK,300614,41,0,40,
annual_cscec_2024_report,financial_reports,OK,284603,145,0,109,
annual_cscec_2025_report,financial_reports,OK,272167,134,0,103,
annual_midea_2024_report,financial_reports,OK,341772,134,0,113,
annual_midea_2025_report,financial_reports,OK,308519,123,0,106,
csrc_0001,regulatory,OK,235,1,0,0,
csrc_0001_att1,regulatory,OK,7384,61,46,0,
csrc_0001_att2,regulatory,OK,2239,1,0,0,
csrc_0002,regulatory,OK,261,1,0,0,
csrc_0002_att1,regulatory,OK,6012,26,25,0,
csrc_0002_att2,regulatory,OK,1356,1,0,0,
csrc_0003,regulatory,OK,211,1,0,0,
csrc_0003_att1,regulatory,OK,3405,27,26,0,
csrc_0003_att2,regulatory,OK,3195,1,0,0,
csrc_0004,regulatory,OK,177,1,0,0,
csrc_0004_att1,regulatory,OK,6895,50,37,0,
csrc_0005,regulatory,OK,237,1,0,0,
csrc_0005_att1,regulatory,OK,21458,79,64,0,
csrc_0005_att2,regulatory,OK,2520,2,1,0,
csrc_0006,regulatory,OK,182,1,0,0,
csrc_0006_att1,regulatory,OK,8464,70,62,0,
csrc_0006_att2,regulatory,OK,1412,1,0,0,
csrc_0007,regulatory,OK,215,1,0,0,
csrc_0007_att1,regulatory,OK,12844,77,62,0,
csrc_0007_att2,regulatory,OK,1430,1,0,0,
csrc_0008,regulatory,OK,226,1,0,0,
csrc_0008_att1,regulatory,OK,191268,197,159,0,
csrc_0008_att2,regulatory,OK,1046,1,0,0,
csrc_0009,regulatory,OK,185,1,0,0,
csrc_0009_att1,regulatory,OK,11300,80,67,0,
csrc_0009_att2,regulatory,OK,2262,1,0,0,
csrc_0010,regulatory,OK,235,1,0,0,
csrc_0010_att1,regulatory,OK,3474,26,25,0,
csrc_0010_att2,regulatory,OK,2758,1,0,0,
csrc_0011,regulatory,OK,207,1,0,0,
csrc_0011_att1,regulatory,OK,4358,34,33,0,
csrc_0011_att2,regulatory,OK,2844,1,0,0,
csrc_0012,regulatory,OK,222,1,0,0,
csrc_0012_att1,regulatory,OK,8203,6,5,0,
csrc_0012_att2,regulatory,OK,1282,2,1,0,
csrc_0013,regulatory,OK,265,1,0,0,
csrc_0013_att1,regulatory,OK,4680,54,36,0,
csrc_0013_att2,regulatory,OK,558,1,0,0,
csrc_0014,regulatory,OK,157,1,0,0,
csrc_0014_att1,regulatory,OK,2040,13,12,0,
csrc_0014_att2,regulatory,OK,1871,1,0,0,
csrc_0015,regulatory,OK,120,1,0,0,
csrc_0015_att1,regulatory,OK,1156,1,0,0,
csrc_0016,regulatory,OK,186,1,0,0,
csrc_0016_att1,regulatory,OK,4524,34,21,0,
csrc_0016_att2,regulatory,OK,2151,1,0,0,
csrc_0017,regulatory,OK,194,1,0,0,
csrc_0017_att1,regulatory,OK,18629,7,0,6,
csrc_0017_att2,regulatory,OK,76061,49,0,48,
csrc_0018,regulatory,OK,182,1,0,0,
csrc_0018_att1,regulatory,OK,4312,42,29,0,
csrc_0018_att2,regulatory,OK,414,1,0,0,
csrc_0019,regulatory,OK,216,1,0,0,
csrc_0019_att1,regulatory,OK,980,1,0,0,
csrc_0019_att2,regulatory,OK,1035,1,0,0,
csrc_0020,regulatory,OK,175,1,0,0,
csrc_0020_att1,regulatory,OK,3572,32,31,0,
csrc_0020_att2,regulatory,OK,2113,1,0,0,
csrc_0021,regulatory,OK,156,1,0,0,
csrc_0021_att1,regulatory,OK,2077,19,18,0,
csrc_0021_att2,regulatory,OK,1268,1,0,0,
csrc_0022,regulatory,OK,153,1,0,0,
csrc_0022_att1,regulatory,OK,4151,1,0,0,
csrc_0023,regulatory,OK,142,1,0,0,
csrc_0023_att1,regulatory,OK,11652,132,101,0,
csrc_0023_att2,regulatory,OK,2097,1,0,0,
csrc_0024,regulatory,OK,364,1,0,0,
csrc_0024_att1,regulatory,OK,148818,142,0,141,
csrc_0024_att2,regulatory,OK,80993,55,0,54,
csrc_0024_att3,regulatory,OK,29733,21,0,20,
csrc_0025,regulatory,OK,140,1,0,0,
csrc_0025_att1,regulatory,OK,11107,58,44,0,
csrc_0025_att2,regulatory,OK,1514,1,0,0,
csrc_0026,regulatory,OK,170,1,0,0,
csrc_0026_att1,regulatory,OK,2269,19,18,0,
csrc_0026_att2,regulatory,OK,1460,1,0,0,
csrc_0027,regulatory,OK,185,1,0,0,
csrc_0027_att1,regulatory,OK,23956,54,36,4,
csrc_0027_att2,regulatory,OK,1985,2,1,0,
csrc_0028,regulatory,OK,337,1,0,0,
csrc_0029,regulatory,OK,176,1,0,0,
csrc_0029_att1,regulatory,OK,4251,46,38,0,
csrc_0029_att2,regulatory,OK,2528,1,0,0,
csrc_0030,regulatory,OK,196,1,0,0,
csrc_0030_att1,regulatory,OK,1848,8,7,0,
csrc_0030_att2,regulatory,OK,613,1,0,0,
csrc_0031,regulatory,OK,143,1,0,0,
csrc_0031_att1,regulatory,OK,4503,23,22,0,
csrc_0031_att2,regulatory,OK,2289,1,0,0,
csrc_0032,regulatory,OK,124,1,0,0,
csrc_0032_att1,regulatory,OK,90457,48,33,3,
csrc_0033,regulatory,OK,179,1,0,0,
csrc_0033_att1,regulatory,OK,2111,19,18,0,
csrc_0033_att2,regulatory,OK,1596,2,1,0,
csrc_0034,regulatory,OK,159,1,0,0,
csrc_0034_att1,regulatory,OK,7647,62,55,0,
csrc_0034_att2,regulatory,OK,880,1,0,0,
csrc_0035,regulatory,OK,151,1,0,0,
csrc_0035_att1,regulatory,OK,33424,243,209,0,
csrc_0035_att2,regulatory,OK,1255,1,0,0,
csrc_0036,regulatory,OK,246,1,0,0,
csrc_0036_att1,regulatory,OK,182,1,0,0,
csrc_0036_att2,regulatory,OK,379121,501,309,30,
csrc_0036_att3,regulatory,OK,148,1,0,0,
csrc_0036_att4,regulatory,OK,1913,1,0,0,
csrc_0037,regulatory,OK,212,1,0,0,
csrc_0037_att1,regulatory,OK,16843,108,64,7,
csrc_0037_att2,regulatory,OK,1499,1,0,0,
csrc_0038,regulatory,OK,209,1,0,0,
csrc_0038_att1,regulatory,OK,28602,121,82,4,
csrc_0038_att2,regulatory,EMPTY,0,0,0,0,
csrc_0039,regulatory,OK,205,1,0,0,
csrc_0039_att1,regulatory,OK,2724,15,14,0,
csrc_0039_att2,regulatory,OK,2213,1,0,0,
csrc_0040,regulatory,OK,223,1,0,0,
csrc_0040_att1,regulatory,OK,1123,3,2,0,
csrc_0040_att2,regulatory,OK,1658,1,0,0,
csrc_0041,regulatory,OK,424,1,0,0,
csrc_0041_att1,regulatory,OK,10306,1,0,0,
csrc_0041_att2,regulatory,OK,7535,7,0,6,
csrc_0041_att3,regulatory,OK,13260,9,0,8,
csrc_0041_att4,regulatory,OK,28079,8,0,7,
csrc_0041_att5,regulatory,OK,9078,6,0,5,
csrc_0042,regulatory,OK,161,1,0,0,
csrc_0042_att1,regulatory,OK,3825,44,29,0,
csrc_0042_att2,regulatory,OK,782,1,0,0,
csrc_0043,regulatory,OK,621,1,0,0,
csrc_0043_att1,regulatory,OK,79205,42,0,41,
csrc_0043_att2,regulatory,OK,12079,8,0,7,
csrc_0043_att3,regulatory,OK,200822,208,0,207,
csrc_0043_att4,regulatory,OK,8846,1,0,0,
csrc_0043_att5,regulatory,OK,18683,1,0,0,
csrc_0044,regulatory,OK,549,1,0,0,
csrc_0045,regulatory,OK,184,1,0,0,
csrc_0045_att1,regulatory,OK,3034,17,16,0,
csrc_0045_att2,regulatory,OK,1640,1,0,0,
csrc_0046,regulatory,OK,176,1,0,0,
csrc_0046_att1,regulatory,OK,34252,15,0,14,
csrc_0046_att2,regulatory,OK,1960,1,0,0,
csrc_0047,regulatory,OK,169,1,0,0,
csrc_0047_att1,regulatory,OK,8178,4,0,3,
csrc_0048,regulatory,OK,201,1,0,0,
csrc_0048_att1,regulatory,OK,2007,13,12,0,
csrc_0048_att2,regulatory,OK,672,1,0,0,
csrc_0049,regulatory,OK,226,1,0,0,
csrc_0049_att1,regulatory,OK,2730,17,16,0,
csrc_0049_att2,regulatory,OK,1658,2,1,0,
csrc_0050,regulatory,OK,190,1,0,0,
csrc_0050_att1,regulatory,OK,3075,19,18,0,
csrc_0050_att2,regulatory,OK,1495,2,1,0,
csrc_0051,regulatory,OK,181,1,0,0,
csrc_0051_att1,regulatory,OK,4355,43,33,0,
csrc_0051_att2,regulatory,OK,2357,1,0,0,
csrc_0052,regulatory,OK,189,1,0,0,
csrc_0052_att1,regulatory,OK,7302,1,0,0,
csrc_0052_att2,regulatory,OK,2300,1,0,0,
csrc_0053,regulatory,OK,184,1,0,0,
csrc_0053_att1,regulatory,OK,1617,1,0,0,
csrc_0053_att2,regulatory,OK,903,1,0,0,
csrc_0054,regulatory,OK,162,1,0,0,
csrc_0054_att1,regulatory,OK,8345,7,0,6,
csrc_0054_att2,regulatory,OK,1026,1,0,0,
csrc_0055,regulatory,OK,331,1,0,0,
csrc_0055_att1,regulatory,OK,39147,46,0,45,
csrc_0055_att2,regulatory,OK,113918,27,0,26,
csrc_0055_att3,regulatory,OK,59749,4,0,3,
csrc_0056,regulatory,OK,203,1,0,0,
csrc_0056_att1,regulatory,OK,2813,20,19,0,
csrc_0056_att2,regulatory,OK,1274,1,0,0,
